Time,AntriebsmomentVA,AntriebsmomentHA,Lenkwinkel,BremsmomentVA,BremsmomentHA,Geschw_S
0,0.72205660145472,0,0,0,0,2.8
0.004,0.72205660145472,0,0,0,0,2.8
0.008,0.72205660145472,0,0,0,0,2.8
0.012,0.72205660145472,0,0,0,0,2.8
0.016,0.72205660145472,0,0,0,0,2.8
0.02,0.72205660145472,0,0,0,0,2.8
0.024,0.72205660145472,0,0,0,0,2.8
0.028,0.72205660145472,0,0,0,0,2.8
0.032,0.72205660145472,0,0,0,0,2.8
0.036,0.72205660145472,0,0,0,0,2.8
0.04,0.72205660145472,0,0,0,0,2.8
0.044,0.72205660145472,0,0,0,0,2.8
0.048,0.72205660145472,0,0,0,0,2.8
0.052,0.72205660145472,0,0,0,0,2.8
0.056,0.72205660145472,0,0,0,0,2.8
0.06,0.72205660145472,0,0,0,0,2.8
0.064,0.72205660145472,0,0,0,0,2.8
0.068,0.72205660145472,0,0,0,0,2.8
0.072,0.72205660145472,0,0,0,0,2.8
0.076,0.72205660145472,0,0,0,0,2.8
0.08,0.72205660145472,0,0,0,0,2.8
0.084,0.72205660145472,0,0,0,0,2.8
0.088,0.72205660145472,0,0,0,0,2.8
0.092,0.72205660145472,0,0,0,0,2.8
0.096,0.72205660145472,0,0,0,0,2.8
0.1,0.72205660145472,0,0,0,0,2.8
0.104,0.72205660145472,0,0,0,0,2.8
0.108,0.72205660145472,0,0,0,0,2.8
0.112,0.72205660145472,0,0,0,0,2.8
0.116,0.72205660145472,0,0,0,0,2.8
0.12,0.72205660145472,0,0,0,0,2.8
0.124,0.72205660145472,0,0,0,0,2.8
0.128,0.72205660145472,0,0,0,0,2.8
0.132,0.72205660145472,0,0,0,0,2.8
0.136,0.72205660145472,0,0,0,0,2.8
0.14,0.72205660145472,0,0,0,0,2.8
0.144,0.72205660145472,0,0,0,0,2.8
0.148,0.72205660145472,0,0,0,0,2.8
0.152,0.72205660145472,0,0,0,0,2.8
0.156,0.72205660145472,0,0,0,0,2.8
0.16,0.72205660145472,0,0,0,0,2.8
0.164,0.72205660145472,0,0,0,0,2.8
0.168,0.72205660145472,0,0,0,0,2.8
0.172,0.72205660145472,0,0,0,0,2.8
0.176,0.72205660145472,0,0,0,0,2.8
0.18,0.72205660145472,0,0,0,0,2.8
0.184,0.72205660145472,0,0,0,0,2.8
0.188,0.72205660145472,0,0,0,0,2.8
0.192,0.72205660145472,0,0,0,0,2.8
0.196,0.72205660145472,0,0,0,0,2.8
0.2,0.72205660145472,0,0,0,0,2.8
0.204,0.72205660145472,0,0,0,0,2.8
0.208,0.72205660145472,0,0,0,0,2.8
0.212,0.72205660145472,0,0,0,0,2.8
0.216,0.72205660145472,0,0,0,0,2.8
0.22,0.72205660145472,0,0,0,0,2.8
0.224,0.72205660145472,0,0,0,0,2.8
0.228,0.72205660145472,0,0,0,0,2.8
0.232,0.72205660145472,0,0,0,0,2.8
0.236,0.72205660145472,0,0,0,0,2.8
0.24,0.72205660145472,0,0,0,0,2.8
0.244,0.72205660145472,0,0,0,0,2.8
0.248,0.72205660145472,0,0,0,0,2.8
0.252,0.72205660145472,0,0,0,0,2.8
0.256,0.72205660145472,0,0,0,0,2.8
0.26,0.72205660145472,0,0,0,0,2.8
0.264,0.72205660145472,0,0,0,0,2.8
0.268,0.72205660145472,0,0,0,0,2.8
0.272,0.72205660145472,0,0,0,0,2.8
0.276,0.72205660145472,0,0,0,0,2.8
0.28,0.72205660145472,0,0,0,0,2.8
0.284,0.72205660145472,0,0,0,0,2.8
0.288,0.72205660145472,0,0,0,0,2.8
0.292,0.72205660145472,0,0,0,0,2.8
0.296,0.72205660145472,0,0,0,0,2.8
0.3,0.72205660145472,0,0,0,0,2.8
0.304,0.72205660145472,0,0,0,0,2.8
0.308,0.72205660145472,0,0,0,0,2.8
0.312,0.72205660145472,0,0,0,0,2.8
0.316,0.72205660145472,0,0,0,0,2.8
0.32,0.72205660145472,0,0,0,0,2.8
0.324,0.72205660145472,0,0,0,0,2.8
0.328,0.72205660145472,0,0,0,0,2.8
0.332,0.72205660145472,0,0,0,0,2.8
0.336,0.72205660145472,0,0,0,0,2.8
0.34,0.72205660145472,0,0,0,0,2.8
0.344,0.72205660145472,0,0,0,0,2.8
0.348,0.72205660145472,0,0,0,0,2.8
0.352,0.72205660145472,0,0,0,0,2.8
0.356,0.72205660145472,0,0,0,0,2.8
0.36,0.72205660145472,0,0,0,0,2.8
